market;eventDate;managerPeopleSearchCode;detail
ALL;8-Jan-2026;;"Tech Stock gets sold off, if the interest rate increases"
ALL;8-Jan-2026;;"ZOOX a autonomous vehicle company is not public traded but owned by amazon"
PROJECTION_2026;19-Jan-2026;BARCLAYS_VenuKrishna;"Policy and geopolitical noise may rise, but we expect stock-specific factors to lead equities. Low correlations should keep dispersion high, creating active opportunities, though concentration makes it hard to navigate"
PROJECTION_2026;19-Jan-2026;BARCLAYS_VenuKrishna;"AI remains the core driver, supporting double-digit earnings growth this year."
PROJECTION_2026;19-Jan-2026;OMDIA_TTGT;"Global semiconductor revenues are projected to surpass $1 trillion in 2026, driven primarily by AI-related demand."
PROJECTION_2026;19-Jan-2026;OMDIA_TTGT;"Memory and logic ICs dominate growth; without them, industry revenue growth would drop sharply to single digits."
PROJECTION_2026;19-Jan-2026;OMDIA_TTGT;"AI-driven data center and hyperscaler spending is accelerating, with top four hyperscalers investing roughly $500bn annually."
PROJECTION_2026;19-Jan-2026;OMDIA_TTGT;"Computing and data storage will be the fastest-growing segment, exceeding $500bn in revenue in 2026."
PROJECTION_2026;19-Jan-2026;OMDIA_TTGT;"Consumer electronics growth is supported by AI-enabled smartphones, higher memory prices, and device refresh cycles."
PROJECTION_2026;19-Jan-2026;OMDIA_TTGT;"Semiconductor growth is highly concentrated, not broad-based, and vulnerable to macroeconomic and supply-chain risks."
